禪讓	shan-rang
劉禪	liu-shan
慇紅	yan-hong
慇妍	yan-yan
可惡	ke-wu
厭惡	yan-wu
好惡	hao-wu
惡勞	wu-lao
憎惡	zeng-wu
深惡	shen-wu
惡訕	wu-shan
曾孫	zeng-sun
脈脈	mo-mo
體胖	ti-pan
胸脯	xiong-pu
文種	wen-chong
醃臢	a-za
朝陽	zhao-yang
朝暉	zhao-hui
朝霞	zhao-xia
朝氣	zhao-qi
今朝	jin-zhao
朝辭	zhao-ci
鎬頭	gao-tou
鳥事	diao-shi
鳥亂	diao-luan
泌陽	bi-yang
沉沒	chen-mo
埋沒	mai-mo
沒落	mo-luo
淹沒	yan-mo
沒收	mo-shou
抄沒	chao-mo
沒世	mo-shi
沒齒	mo-chi
隱沒	yin-mo
出沒	chu-mo
湯湯	shang-shang
攢集	cuan-ji
攢射	cuan-she
攢動	cuan-dong
老撾	lao-wo
執拗	zhi-niu
殼牌	qiao-pai
地殼	di-qiao
脫殼	tuo-qiao
倔強	jue-jiang
尉遲	yu-chi
迫擊	pai-ji
起勁	qi-jin
費勁	fei-jin
勁力	jin-li
冒頓	mo-du
折錢	she-qian
扒開	ba-kai
扒釘	ba-ding
扒車	ba-che
繁峙	fan-shi
恐嚇	kong-he
威嚇	wei-he
句麗	gou-li
句踐	gou-jian
哽嚥	geng-ye
嗚嚥	wu-ye
伍員	wu-yun
的確	di-que
的當	di-dang
祕魯	bi-lu
稱心	chen-xin
稱職	chen-zhi
相稱	xiang-chen
勻稱	yun-chen
對稱	dui-chen
盛飯	cheng-fan
省親	xing-qin
銀行	yin-hang
行規	hang-gui
行會	hang-hui
行話	hang-hua
行幾	hang-ji
行當	hang-dang
行陣	hang-zhen
穿著	chuan-zhuo
著陸	zhuo-lu
著邊	zhao-bian
附著	fu-zhuo
著眼	zhuo-yan
著筆	zhuo-bi
著色	zhuo-se
著力	zhuo-li
著想	zhuo-xiang
著意	zhuo-yi
著落	zhuo-luo
著即	zhuo-ji
著衣	zhuo-yi
著處	zhuo-chu
著地	zhuo-di
著棋	zhuo-qi
著牀	zhuo-chuang
著墨	zhuo-mo
著手	zhuo-shou
著裝	zhuo-zhuang
著重	zhuo-zhong
著涼	zhao-liang
著急	zhao-ji
著迷	zhao-mi
著火	zhao-huo
猜著	cai-zhao
著魔	zhao-mo
一著	yi-zhao
著法	zhao-fa
